r,rw,rx,rwc,rwx,rwxc,category,family,label
165,133,73,29,7,0,Ransomware,Katyusha,Ransomware
69,71,26,28,5,0,Ransomware,Katyusha,Ransomware
67,63,29,23,6,0,Ransomware,Katyusha,Ransomware
69,72,26,28,5,0,Ransomware,Katyusha,Ransomware
165,134,73,29,7,0,Ransomware,Katyusha,Ransomware
165,134,73,29,7,0,Ransomware,Katyusha,Ransomware
165,133,73,29,7,0,Ransomware,Katyusha,Ransomware
98,84,36,23,7,0,Ransomware,Katyusha,Ransomware
165,133,73,29,7,0,Ransomware,Katyusha,Ransomware
69,73,26,28,5,0,Ransomware,Katyusha,Ransomware
69,73,26,28,5,0,Ransomware,Katyusha,Ransomware
105,101,44,29,6,0,Ransomware,Katyusha,Ransomware
165,134,73,29,7,0,Ransomware,Katyusha,Ransomware
105,101,44,29,6,0,Ransomware,Katyusha,Ransomware
165,134,73,29,7,0,Ransomware,Katyusha,Ransomware
69,72,26,28,5,0,Ransomware,Katyusha,Ransomware
165,134,73,29,7,0,Ransomware,Katyusha,Ransomware
165,131,73,29,7,0,Ransomware,Katyusha,Ransomware
69,74,26,28,5,0,Ransomware,Katyusha,Ransomware
165,133,73,29,7,0,Ransomware,Katyusha,Ransomware
69,73,26,28,5,0,Ransomware,Katyusha,Ransomware
105,101,44,29,6,0,Ransomware,Katyusha,Ransomware
105,101,44,29,6,0,Ransomware,Katyusha,Ransomware
69,73,26,28,5,0,Ransomware,Katyusha,Ransomware
165,134,73,29,7,0,Ransomware,Katyusha,Ransomware
165,134,73,29,7,0,Ransomware,Katyusha,Ransomware
105,101,44,29,6,0,Ransomware,Katyusha,Ransomware
105,101,44,29,6,0,Ransomware,Katyusha,Ransomware
165,134,73,29,7,0,Ransomware,Katyusha,Ransomware
67,63,29,23,6,0,Ransomware,Katyusha,Ransomware
105,101,44,29,6,0,Ransomware,Katyusha,Ransomware
165,134,73,29,7,0,Ransomware,Katyusha,Ransomware
165,133,73,29,7,0,Ransomware,Katyusha,Ransomware
67,63,29,23,6,0,Ransomware,Katyusha,Ransomware
69,73,26,28,5,0,Ransomware,Katyusha,Ransomware
67,63,29,23,6,0,Ransomware,Katyusha,Ransomware
67,63,29,23,6,0,Ransomware,Katyusha,Ransomware
105,101,44,29,6,0,Ransomware,Katyusha,Ransomware
69,73,26,28,5,0,Ransomware,Katyusha,Ransomware
67,63,29,23,6,0,Ransomware,Katyusha,Ransomware
165,132,73,29,7,0,Ransomware,Katyusha,Ransomware
165,132,73,29,7,0,Ransomware,Katyusha,Ransomware
105,101,44,29,6,0,Ransomware,Katyusha,Ransomware
69,73,26,28,5,0,Ransomware,Katyusha,Ransomware
83,88,33,27,5,0,Ransomware,Katyusha,Ransomware
105,101,44,29,6,0,Ransomware,Katyusha,Ransomware
67,63,29,23,6,0,Ransomware,Katyusha,Ransomware
165,132,73,29,7,0,Ransomware,Katyusha,Ransomware
67,63,29,23,6,0,Ransomware,Katyusha,Ransomware
165,133,73,29,7,0,Ransomware,Katyusha,Ransomware
69,73,26,28,5,0,Ransomware,Katyusha,Ransomware
67,63,29,23,6,0,Ransomware,Katyusha,Ransomware
165,134,73,29,7,0,Ransomware,Katyusha,Ransomware
67,63,29,23,6,0,Ransomware,Katyusha,Ransomware
105,101,44,29,6,0,Ransomware,Katyusha,Ransomware
165,133,73,29,7,0,Ransomware,Katyusha,Ransomware
165,135,73,29,7,0,Ransomware,Katyusha,Ransomware
67,63,29,23,6,0,Ransomware,Katyusha,Ransomware
67,63,29,23,6,0,Ransomware,Katyusha,Ransomware
165,134,73,29,7,0,Ransomware,Katyusha,Ransomware
165,133,73,29,7,0,Ransomware,Katyusha,Ransomware
119,87,43,25,7,0,Ransomware,Katyusha,Ransomware
83,88,33,27,5,0,Ransomware,Katyusha,Ransomware
66,68,25,26,5,0,Ransomware,Maoloa,Ransomware
54,55,16,20,55,0,Ransomware,Encrpt3d,Ransomware
62,59,19,21,49,1,Ransomware,HANTA,Ransomware
62,58,19,21,49,1,Ransomware,HANTA,Ransomware
67,61,26,21,5,0,Ransomware,BB,Ransomware
68,64,26,21,5,0,Ransomware,HiddenTear,Ransomware
68,64,26,21,5,0,Ransomware,HiddenTear,Ransomware
173,183,59,66,83,11,Ransomware,Jigsaw,Ransomware
123,193,40,87,93,19,Ransomware,Jigsaw,Ransomware
68,61,26,21,5,0,Ransomware,LucyLocker,Ransomware
98,83,37,36,0,0,Ransomware,MountLocker,Ransomware
77,66,28,18,0,0,Ransomware,MountLocker,Ransomware
133,145,49,49,1,0,Ransomware,MountLocker,Ransomware
74,63,22,22,62,0,Ransomware,MountLocker,Ransomware
85,74,26,27,61,0,Ransomware,MountLocker,Ransomware
75,70,29,25,6,1,Ransomware,Matrix,Ransomware
69,71,26,28,5,0,Ransomware,Matrix,Ransomware
45,59,18,22,5,0,Ransomware,Matrix,Ransomware
70,67,21,26,58,0,Ransomware,Matrix,Ransomware
69,74,26,28,5,0,Ransomware,Matrix,Ransomware
71,67,27,24,6,0,Ransomware,Matrix,Ransomware
69,71,26,28,5,0,Ransomware,Matrix,Ransomware
91,77,37,24,6,0,Ransomware,Matrix,Ransomware
71,67,27,24,6,0,Ransomware,Matrix,Ransomware
69,71,26,28,5,0,Ransomware,Matrix,Ransomware
69,71,26,28,5,0,Ransomware,Matrix,Ransomware
66,73,25,28,5,0,Ransomware,Matrix,Ransomware
45,59,18,22,5,0,Ransomware,Matrix,Ransomware
86,76,33,27,5,0,Ransomware,Matrix,Ransomware
71,67,27,24,6,0,Ransomware,Matrix,Ransomware
73,69,28,24,6,1,Ransomware,Matrix,Ransomware
45,59,18,22,5,0,Ransomware,Matrix,Ransomware
70,60,21,25,58,0,Ransomware,Matrix,Ransomware
91,77,37,24,6,0,Ransomware,Matrix,Ransomware
91,80,37,24,6,0,Ransomware,Matrix,Ransomware
91,77,37,24,6,0,Ransomware,Matrix,Ransomware
69,71,26,28,5,0,Ransomware,Matrix,Ransomware
73,69,28,24,6,1,Ransomware,Matrix,Ransomware
45,59,18,22,5,0,Ransomware,Matrix,Ransomware
45,59,18,22,5,0,Ransomware,Matrix,Ransomware
45,59,18,22,5,0,Ransomware,Matrix,Ransomware
73,69,28,24,6,1,Ransomware,Matrix,Ransomware
73,69,28,24,6,1,Ransomware,Matrix,Ransomware
91,77,37,24,6,0,Ransomware,Matrix,Ransomware
69,73,26,28,5,0,Ransomware,Matrix,Ransomware
91,80,37,24,6,0,Ransomware,Matrix,Ransomware
84,75,32,26,5,0,Ransomware,Matrix,Ransomware
45,59,18,22,5,0,Ransomware,Matrix,Ransomware
91,80,37,24,6,0,Ransomware,Matrix,Ransomware
69,71,26,28,5,0,Ransomware,Matrix,Ransomware
75,70,29,25,6,1,Ransomware,Matrix,Ransomware
73,69,28,24,6,1,Ransomware,Matrix,Ransomware
70,67,21,26,58,0,Ransomware,Matrix,Ransomware
45,59,18,22,5,0,Ransomware,Matrix,Ransomware
45,59,18,22,5,0,Ransomware,Matrix,Ransomware
71,67,27,24,6,0,Ransomware,Matrix,Ransomware
71,67,27,24,6,0,Ransomware,Matrix,Ransomware
91,80,37,24,6,0,Ransomware,Matrix,Ransomware
71,67,27,24,6,0,Ransomware,Matrix,Ransomware
75,70,29,25,6,1,Ransomware,Matrix,Ransomware
45,59,18,22,5,0,Ransomware,Matrix,Ransomware
126,136,51,33,6,0,Ransomware,Matrix,Ransomware
69,71,26,28,5,0,Ransomware,Matrix,Ransomware
69,74,26,28,5,0,Ransomware,Matrix,Ransomware
66,73,25,28,5,0,Ransomware,Matrix,Ransomware
45,59,18,22,5,0,Ransomware,Matrix,Ransomware
70,67,21,26,58,0,Ransomware,Matrix,Ransomware
86,76,33,27,5,0,Ransomware,Matrix,Ransomware
45,59,18,22,5,0,Ransomware,Matrix,Ransomware
69,71,26,28,5,0,Ransomware,Matrix,Ransomware
91,77,37,24,6,0,Ransomware,Matrix,Ransomware
91,77,37,24,6,0,Ransomware,Matrix,Ransomware
69,75,26,28,5,0,Ransomware,Matrix,Ransomware
69,71,26,28,5,0,Ransomware,Matrix,Ransomware
91,77,37,24,6,0,Ransomware,Matrix,Ransomware
45,59,18,22,5,0,Ransomware,Matrix,Ransomware
69,73,26,28,5,0,Ransomware,Matrix,Ransomware
45,59,18,22,5,0,Ransomware,Matrix,Ransomware
73,69,28,24,6,1,Ransomware,Matrix,Ransomware
69,71,26,28,5,0,Ransomware,Matrix,Ransomware
84,75,32,26,5,0,Ransomware,Matrix,Ransomware
73,69,28,24,6,1,Ransomware,Matrix,Ransomware
75,70,29,25,6,1,Ransomware,Matrix,Ransomware
69,71,26,28,5,0,Ransomware,Matrix,Ransomware
70,60,21,25,58,0,Ransomware,Matrix,Ransomware
45,59,18,22,5,0,Ransomware,Matrix,Ransomware
70,67,21,26,58,0,Ransomware,Matrix,Ransomware
91,80,37,24,6,0,Ransomware,Matrix,Ransomware
45,59,18,22,5,0,Ransomware,Matrix,Ransomware
69,71,26,28,5,0,Ransomware,Matrix,Ransomware
75,70,29,25,6,1,Ransomware,Matrix,Ransomware
73,69,28,24,6,1,Ransomware,Matrix,Ransomware
70,67,21,26,58,0,Ransomware,Matrix,Ransomware
56,59,15,25,42,0,Ransomware,Dharma,Ransomware
65,58,19,21,55,0,Ransomware,Dharma,Ransomware
86,74,26,27,61,0,Ransomware,Dharma,Ransomware
56,59,15,25,42,0,Ransomware,Dharma,Ransomware
65,58,19,21,55,0,Ransomware,Dharma,Ransomware
86,74,26,27,60,0,Ransomware,Dharma,Ransomware
56,59,15,25,42,0,Ransomware,Dharma,Ransomware
65,58,19,21,55,0,Ransomware,Dharma,Ransomware
86,74,26,27,61,0,Ransomware,Dharma,Ransomware
44,56,18,26,7,0,Ransomware,Avaddon,Ransomware
120,101,50,29,6,0,Ransomware,Avaddon,Ransomware
83,88,33,27,5,0,Ransomware,Avaddon,Ransomware
120,101,50,29,6,0,Ransomware,Avaddon,Ransomware
83,88,33,27,5,0,Ransomware,Avaddon,Ransomware
120,101,50,29,6,0,Ransomware,Avaddon,Ransomware
83,89,33,27,5,0,Ransomware,Avaddon,Ransomware
119,128,47,40,7,0,Ransomware,Pojie,Ransomware
92,102,36,34,7,0,Ransomware,Pojie,Ransomware
193,183,85,51,6,0,Ransomware,FuxSocy,Ransomware
193,183,85,51,6,0,Ransomware,FuxSocy,Ransomware
232,207,82,61,61,0,Ransomware,Epsilon,Ransomware
232,210,82,61,61,0,Ransomware,Epsilon,Ransomware
232,207,82,61,64,0,Ransomware,Epsilon,Ransomware
163,160,69,39,6,1,Ransomware,Jackpot,Ransomware
69,64,26,21,5,0,Ransomware,4444,Ransomware
83,88,33,27,5,0,Ransomware,#Other,Ransomware
83,88,33,27,5,0,Ransomware,#Other,Ransomware
83,88,33,27,5,0,Ransomware,#Other,Ransomware
143,2241,59,37,8,0,Ransomware,#Other,Ransomware
83,89,33,27,5,0,Ransomware,#Other,Ransomware
69,74,26,28,5,0,Ransomware,#Other,Ransomware
83,89,33,27,5,0,Ransomware,#Other,Ransomware
83,88,33,27,5,0,Ransomware,#Other,Ransomware
83,89,33,27,5,0,Ransomware,#Other,Ransomware
83,88,33,27,5,0,Ransomware,#Other,Ransomware
67,61,26,21,5,0,Ransomware,#Other,Ransomware
69,65,26,23,5,0,Ransomware,Mamba,Ransomware
54,52,15,20,42,0,Ransomware,Egregor,Ransomware
99,86,39,29,5,0,Ransomware,Egregor,Ransomware
54,52,15,20,42,0,Ransomware,Egregor,Ransomware
99,86,39,29,5,0,Ransomware,Egregor,Ransomware
54,52,15,20,42,0,Ransomware,Egregor,Ransomware
99,86,39,29,5,0,Ransomware,Egregor,Ransomware
62,58,18,21,49,0,Ransomware,Expiro,Ransomware
122,96,38,33,67,0,Ransomware,Expiro,Ransomware
51,56,14,24,42,0,Ransomware,Expiro,Ransomware
51,56,14,25,42,0,Ransomware,Expiro,Ransomware
55,57,15,25,42,0,Ransomware,Expiro,Ransomware
51,56,14,24,42,0,Ransomware,Expiro,Ransomware
51,56,14,25,42,0,Ransomware,Expiro,Ransomware
72,98,21,26,52,0,Ransomware,Expiro,Ransomware
55,57,15,25,42,0,Ransomware,Expiro,Ransomware
58,55,17,21,55,0,Ransomware,Expiro,Ransomware
122,96,38,33,67,0,Ransomware,Expiro,Ransomware
55,57,15,25,42,0,Ransomware,Expiro,Ransomware
55,57,15,25,42,0,Ransomware,Expiro,Ransomware
62,56,20,22,53,0,Ransomware,Expiro,Ransomware
122,96,38,33,67,0,Ransomware,Expiro,Ransomware
69,60,22,22,52,0,Ransomware,Expiro,Ransomware
55,57,15,25,42,0,Ransomware,Expiro,Ransomware
483,413,158,102,70,0,Ransomware,Crypt888,Ransomware
175,141,71,43,6,0,Ransomware,Crypt888,Ransomware
139,2009,59,33,7,0,Ransomware,CryLock,Ransomware
139,1990,59,32,7,0,Ransomware,CryLock,Ransomware
77,74,30,30,7,0,Ransomware,Cryptowall,Ransomware
11,10,3,4,4,0,Ransomware,Cryptowall,Ransomware
102,83,42,27,7,0,Ransomware,Cryptowall,Ransomware
13,13,4,5,4,0,Ransomware,Cryptowall,Ransomware
92,104,28,34,55,0,Ransomware,Nemty,Ransomware
146,205,61,31,6,0,Ransomware,HelloKitty,Ransomware
105,102,44,29,6,0,Ransomware,HelloKitty,Ransomware
105,101,44,29,6,0,Ransomware,HelloKitty,Ransomware
105,101,44,29,6,0,Ransomware,HelloKitty,Ransomware
105,101,44,29,6,0,Ransomware,HelloKitty,Ransomware
105,101,44,29,6,0,Ransomware,HelloKitty,Ransomware
98,80,37,36,0,0,Ransomware,HelloKitty,Ransomware
64,67,28,24,5,0,Ransomware,HelloKitty,Ransomware
105,102,44,29,6,0,Ransomware,HelloKitty,Ransomware
69,69,30,25,5,0,Ransomware,HelloKitty,Ransomware
64,68,28,24,5,0,Ransomware,HelloKitty,Ransomware
105,101,44,29,6,0,Ransomware,HelloKitty,Ransomware
69,69,30,25,5,0,Ransomware,HelloKitty,Ransomware
69,69,30,25,5,0,Ransomware,HelloKitty,Ransomware
64,64,28,24,5,0,Ransomware,HelloKitty,Ransomware
105,101,44,29,6,0,Ransomware,HelloKitty,Ransomware
105,101,44,29,6,0,Ransomware,HelloKitty,Ransomware
133,159,49,49,1,0,Ransomware,HelloKitty,Ransomware
105,102,44,29,6,0,Ransomware,HelloKitty,Ransomware
64,64,28,24,5,0,Ransomware,HelloKitty,Ransomware
69,69,30,25,5,0,Ransomware,HelloKitty,Ransomware
105,101,44,29,6,0,Ransomware,HelloKitty,Ransomware
105,101,44,29,6,0,Ransomware,HelloKitty,Ransomware
64,64,28,24,5,0,Ransomware,HelloKitty,Ransomware
105,102,44,29,6,0,Ransomware,HelloKitty,Ransomware
105,102,44,29,6,0,Ransomware,HelloKitty,Ransomware
105,101,44,29,6,0,Ransomware,HelloKitty,Ransomware
64,64,28,24,5,0,Ransomware,HelloKitty,Ransomware
64,68,28,24,5,0,Ransomware,HelloKitty,Ransomware
64,64,28,24,5,0,Ransomware,HelloKitty,Ransomware
105,102,44,29,6,0,Ransomware,HelloKitty,Ransomware
69,69,30,25,5,0,Ransomware,HelloKitty,Ransomware
105,101,44,29,6,0,Ransomware,HelloKitty,Ransomware
64,66,28,24,5,0,Ransomware,HelloKitty,Ransomware
105,102,44,29,6,0,Ransomware,HelloKitty,Ransomware
69,69,30,25,5,0,Ransomware,HelloKitty,Ransomware
105,101,44,29,6,0,Ransomware,HelloKitty,Ransomware
69,69,30,25,5,0,Ransomware,HelloKitty,Ransomware
64,64,28,24,5,0,Ransomware,HelloKitty,Ransomware
105,101,44,29,6,0,Ransomware,HelloKitty,Ransomware
69,69,30,25,5,0,Ransomware,HelloKitty,Ransomware
64,68,28,24,5,0,Ransomware,HelloKitty,Ransomware
69,69,30,25,5,0,Ransomware,HelloKitty,Ransomware
64,64,28,24,5,0,Ransomware,HelloKitty,Ransomware
69,69,30,25,5,0,Ransomware,HelloKitty,Ransomware
69,69,30,25,5,0,Ransomware,HelloKitty,Ransomware
69,69,30,25,5,0,Ransomware,HelloKitty,Ransomware
106,101,44,29,6,0,Ransomware,HelloKitty,Ransomware
64,64,28,24,5,0,Ransomware,HelloKitty,Ransomware
64,64,28,24,5,0,Ransomware,HelloKitty,Ransomware
69,69,30,25,5,0,Ransomware,HelloKitty,Ransomware
105,101,44,29,6,0,Ransomware,HelloKitty,Ransomware
69,69,30,25,5,0,Ransomware,HelloKitty,Ransomware
69,69,30,25,5,0,Ransomware,HelloKitty,Ransomware
64,64,28,24,5,0,Ransomware,HelloKitty,Ransomware
105,101,44,29,6,0,Ransomware,HelloKitty,Ransomware
69,69,30,25,5,0,Ransomware,HelloKitty,Ransomware
69,69,30,25,5,0,Ransomware,HelloKitty,Ransomware
69,69,30,25,5,0,Ransomware,HelloKitty,Ransomware
64,64,28,24,5,0,Ransomware,HelloKitty,Ransomware
69,69,30,25,5,0,Ransomware,HelloKitty,Ransomware
69,69,30,25,5,0,Ransomware,HelloKitty,Ransomware
64,67,28,24,5,0,Ransomware,HelloKitty,Ransomware
105,101,44,29,6,0,Ransomware,HelloKitty,Ransomware
105,105,44,29,6,0,Ransomware,HelloKitty,Ransomware
69,69,30,25,5,0,Ransomware,HelloKitty,Ransomware
69,69,30,25,5,0,Ransomware,HelloKitty,Ransomware
64,67,28,24,5,0,Ransomware,HelloKitty,Ransomware
69,69,30,25,5,0,Ransomware,HelloKitty,Ransomware
69,69,30,25,5,0,Ransomware,HelloKitty,Ransomware
64,64,28,24,5,0,Ransomware,HelloKitty,Ransomware
105,101,44,29,6,0,Ransomware,HelloKitty,Ransomware
69,69,30,25,5,0,Ransomware,HelloKitty,Ransomware
64,67,28,24,5,0,Ransomware,HelloKitty,Ransomware
64,67,28,24,5,0,Ransomware,HelloKitty,Ransomware
69,70,30,26,5,0,Ransomware,HelloKitty,Ransomware
69,69,30,25,5,0,Ransomware,HelloKitty,Ransomware
64,66,28,24,5,0,Ransomware,HelloKitty,Ransomware
69,69,30,25,5,0,Ransomware,HelloKitty,Ransomware
64,66,28,24,5,0,Ransomware,HelloKitty,Ransomware
69,69,30,25,5,0,Ransomware,HelloKitty,Ransomware
69,69,30,25,5,0,Ransomware,HelloKitty,Ransomware
64,66,28,24,5,0,Ransomware,HelloKitty,Ransomware
64,66,28,24,5,0,Ransomware,HelloKitty,Ransomware
64,66,28,24,5,0,Ransomware,HelloKitty,Ransomware
69,69,30,25,5,0,Ransomware,HelloKitty,Ransomware
69,69,30,25,5,0,Ransomware,HelloKitty,Ransomware
64,64,28,24,5,0,Ransomware,HelloKitty,Ransomware
64,64,28,24,5,0,Ransomware,HelloKitty,Ransomware
64,68,28,24,5,0,Ransomware,HelloKitty,Ransomware
69,69,30,25,5,0,Ransomware,HelloKitty,Ransomware
69,69,30,25,5,0,Ransomware,HelloKitty,Ransomware
64,64,28,24,5,0,Ransomware,HelloKitty,Ransomware
69,69,30,25,5,0,Ransomware,HelloKitty,Ransomware
69,69,30,25,5,0,Ransomware,HelloKitty,Ransomware
69,69,30,25,5,0,Ransomware,HelloKitty,Ransomware
64,64,28,24,5,0,Ransomware,HelloKitty,Ransomware
64,64,28,24,5,0,Ransomware,HelloKitty,Ransomware
64,67,28,24,5,0,Ransomware,HelloKitty,Ransomware
64,66,28,24,5,0,Ransomware,HelloKitty,Ransomware
64,66,28,24,5,0,Ransomware,HelloKitty,Ransomware
64,64,28,24,5,0,Ransomware,HelloKitty,Ransomware
64,64,28,24,5,0,Ransomware,HelloKitty,Ransomware
64,64,28,24,5,0,Ransomware,HelloKitty,Ransomware
69,69,30,25,5,0,Ransomware,HelloKitty,Ransomware
64,66,28,24,5,0,Ransomware,HelloKitty,Ransomware
69,69,30,25,5,0,Ransomware,HelloKitty,Ransomware
69,69,30,25,5,0,Ransomware,HelloKitty,Ransomware
64,64,28,24,5,0,Ransomware,HelloKitty,Ransomware
69,69,30,25,5,0,Ransomware,HelloKitty,Ransomware
64,66,28,24,5,0,Ransomware,HelloKitty,Ransomware
64,64,28,24,5,0,Ransomware,HelloKitty,Ransomware
69,69,30,25,5,0,Ransomware,HelloKitty,Ransomware
105,101,44,29,6,0,Ransomware,HelloKitty,Ransomware
64,64,28,24,5,0,Ransomware,HelloKitty,Ransomware
64,66,28,24,5,0,Ransomware,HelloKitty,Ransomware
64,64,28,24,5,0,Ransomware,HelloKitty,Ransomware
69,69,30,25,5,0,Ransomware,HelloKitty,Ransomware
69,69,30,25,5,0,Ransomware,HelloKitty,Ransomware
64,66,28,24,5,0,Ransomware,HelloKitty,Ransomware
64,64,28,24,5,0,Ransomware,HelloKitty,Ransomware
69,69,30,25,5,0,Ransomware,HelloKitty,Ransomware
69,69,30,25,5,0,Ransomware,HelloKitty,Ransomware
69,69,30,25,5,0,Ransomware,HelloKitty,Ransomware
105,102,44,29,6,0,Ransomware,HelloKitty,Ransomware
64,66,28,24,5,0,Ransomware,HelloKitty,Ransomware
64,68,28,24,5,0,Ransomware,HelloKitty,Ransomware
64,64,28,24,5,0,Ransomware,HelloKitty,Ransomware
105,101,44,29,6,0,Ransomware,HelloKitty,Ransomware
69,69,30,25,5,0,Ransomware,HelloKitty,Ransomware
105,101,44,29,6,0,Ransomware,HelloKitty,Ransomware
105,101,44,29,6,0,Ransomware,HelloKitty,Ransomware
64,64,28,24,5,0,Ransomware,HelloKitty,Ransomware
64,64,28,24,5,0,Ransomware,HelloKitty,Ransomware
105,101,44,29,6,0,Ransomware,HelloKitty,Ransomware
69,69,30,25,5,0,Ransomware,HelloKitty,Ransomware
64,64,28,24,5,0,Ransomware,HelloKitty,Ransomware
69,69,30,25,5,0,Ransomware,HelloKitty,Ransomware
