protocol,flag,family,address,usd,seed_address,btc,netflow_bytes,ip_address,clusters,threats,port,time,prediction
ICMP,AF,SamSam,18e372GN,1350,1GZkujBR,30,3682,C,1,UDP Scan,5066,16,Benign
TCP,AP,SamSam,18e372GN,1,1GZkujBR,7,1364,C,9,UDP Scan,5062,15,Benign
TCP,APS,SamSam,1DiCeTjB,1,1DA11mPS,7,3930,C,1,Spam,5066,11,Ransomware
ICMP,AP,EDA2,1SYSTEMQ,18454,1NKi9AK5,19,3096,C,1,Scan,5062,3,Benign
ICMP,R,Locky,1SYSTEMQ,18406,1DA11mPS,22,3506,C,1,Blacklist,5062,14,Ransomware
TCP,APS,JigSaw,1DiCeTjB,1,17dcMo4V,6,554,A,9,Spam,5066,32,Ransomware
ICMP,AF,TowerWeb,1DiCeTjB,412,17dcMo4V,30,2257,C,1,DoS,5066,12,Ransomware
TCP,APSF,Locky,1CLag5cd,6788,1DA11mPS,2,2000,C,1,Botnet,5066,20,Ransomware
UDP,A,Razy,18e372GN,860,1GZkujBR,8,95,A,1,Blacklist,5062,46,Ransomware
TCP,APS,APT,18e372GN,1,1GZkujBR,9,1022,A,9,UDP Scan,5062,28,Benign
UDP,AF,TowerWeb,1DiCeTjB,4321,17dcMo4V,30,1230,A,3,Scan,5066,1,Benign
TCP,APSF,SamSam,1CLag5cd,4796,1DA11mPS,3,1442,B,1,DoS,5068,25,Ransomware
ICMP,APRSF,EDA2,1DiCeTjB,553,17dcMo4V,19,350,A,2,Spam,5066,31,Ransomware
TCP,APS,WannaCry,18e372GN,1,1GZkujBR,6,488,A,9,SSH,5066,54,Benign
UDP,AP,WannaCry,1SYSTEMQ,16364,1NKi9AK5,11,1941,C,1,Botnet,5062,16,Ransomware
TCP,APSF,Locky,1BonuSr7,1330,1DA11mPS,3,1025,C,1,SSH,5066,37,Benign
TCP,APSF,WannaCry,1DiCeTjB,1078,17dcMo4V,12,182,B,2,SSH,5068,10,Benign
UDP,AP,TowerWeb,1SYSTEMQ,1884,1AEoiHYZ,1206,3879,A,3,Scan,5062,33,Benign
ICMP,APS,DMALocker,1DiCeTjB,67,17dcMo4V,6,69,B,2,UDP Scan,5061,20,Benign
ICMP,APRSF,CryptXXX,18e372GN,457,17dcMo4V,19,286,A,2,Port Scanning,5062,7,Benign
UDP,AP,Locky,1SYSTEMQ,18454,1DA11mPS,11,2221,C,1,Scan,5062,23,Benign
ICMP,R,Flyper,1Lc7xTpP,656,1DA11mPS,322,462,A,10,NerisBotnet,5068,59,Ransomware
UDP,AF,WannaCry,18e372GN,5728,1GZkujBR,20,266,C,11,Port Scanning,5062,1,Benign
TCP,APS,Globe,18e372GN,1,1GZkujBR,4,4048,B,9,UDP Scan,5066,15,Benign
UDP,AF,CryptoLocker2015,1DiCeTjB,5757,1GZkujBR,20,2490,C,1,Blacklist,5062,48,Ransomware
UDP,ARF,Razy,1CLag5cd,14420,1DA11mPS,11,1131,A,1,Botnet,5061,40,Ransomware
TCP,AF,Locky,1SYSTEMQ,27764,1AEoiHYZ,9,22,A,1,Spam,5066,4,Ransomware
TCP,APSF,Razy,1DiCeTjB,1426,1DA11mPS,2,1190,B,1,SSH,5066,6,Benign
ICMP,APRSF,APT,18e372GN,685,1GZkujBR,19,438,A,2,Spam,5062,4,Ransomware
ICMP,R,Locky,1SYSTEMQ,18169,1DA11mPS,22,4691,C,1,Scan,5066,10,Benign
UDP,APS,APT,1DiCeTjB,218,17dcMo4V,123,327,A,2,UDP Scan,5061,20,Benign
TCP,AF,Locky,18e372GN,21345,1GZkujBR,30,7008,C,1,Scan,5061,37,Benign
TCP,AF,SamSam,1SYSTEMQ,26948,1DA11mPS,9,6351,A,1,Spam,5061,50,Ransomware
TCP,APS,WannaCry,18e372GN,1,1GZkujBR,16,278,B,9,Port Scanning,5066,7,Benign
ICMP,APRSF,EDA2,1DiCeTjB,601,17dcMo4V,19,382,A,2,Spam,5066,43,Ransomware
UDP,ASF,WannaCry,1DiCeTjB,945,1GZkujBR,3,2197,C,1,SSH,5068,15,Benign
ICMP,R,JigSaw,1SYSTEMQ,18232,1DA11mPS,22,4376,C,1,Port Scanning,5062,4,Benign
TCP,APS,DMALocker,18e372GN,1195,1GZkujBR,4,778,D,2,Port Scanning,5062,24,Benign
UDP,AF,Locky,18e372GN,1,1GZkujBR,20,459,A,1,Port Scanning,5061,5,Benign
UDP,R,APT,1Lc7xTpP,716,17dcMo4V,214,552,B,10,NerisBotnet,5068,40,Ransomware
UDP,ARF,Locky,1SYSTEMQ,18454,1DA11mPS,11,801,A,1,Blacklist,5061,40,Ransomware
TCP,APSF,Razy,1CLag5cd,7580,1DA11mPS,2,1982,B,1,Botnet,5066,18,Ransomware
ICMP,AF,SamSam,1DiCeTjB,496,17dcMo4V,30,2609,C,1,UDP Scan,5066,9,Benign
ICMP,R,Locky,18e372GN,502,1DA11mPS,52,270,B,11,NerisBotnet,5068,1,Ransomware
TCP,AF,JigSaw,1Lc7xTpP,23221,1KZKcvx4,13,188,C,11,Port Scanning,5068,49,Benign
TCP,APS,APT,1DiCeTjB,1,17dcMo4V,16,242,B,9,Spam,5066,58,Ransomware
UDP,AF,SamSam,1DiCeTjB,5808,17dcMo4V,20,2440,C,11,NerisBotnet,5062,11,Ransomware
TCP,AF,Locky,1DiCeTjB,21345,1DA11mPS,11,521,C,1,SSH,5061,16,Benign
TCP,AF,DMALocker,1CLag5cd,50873,1DA11mPS,13,228,A,1,Blacklist,5066,25,Ransomware
UDP,ARF,CryptXXX,1SYSTEMQ,18454,1DA11mPS,11,1491,A,1,Blacklist,5061,1,Ransomware
UDP,ARF,CryptXXX,1SYSTEMQ,13820,1DA11mPS,11,881,A,1,Botnet,5061,13,Ransomware
TCP,AF,SamSam,1SYSTEMQ,28520,1AEoiHYZ,15,148,A,1,Spam,5066,46,Ransomware
UDP,APS,JigSaw,1DiCeTjB,79,17dcMo4V,18,10612,B,2,Scan,5061,20,Benign
UDP,AF,Locky,1DiCeTjB,125951,17dcMo4V,30,134,C,3,Port Scanning,5062,7,Benign
UDP,AF,TowerWeb,1DiCeTjB,4321,17dcMo4V,30,1086,A,3,Scan,5066,26,Benign
ICMP,R,DMALocker,1SYSTEMQ,18236,1NKi9AK5,22,4356,C,1,Spam,5062,18,Ransomware
TCP,APSF,JigSaw,1CLag5cd,2024,17dcMo4V,8,518,A,1,Botnet,5062,58,Ransomware
ICMP,APRSF,SamSam,1DiCeTjB,133,17dcMo4V,2,70,B,2,Scan,5061,7,Benign
ICMP,AP,SamSam,1SYSTEMQ,18454,1NKi9AK5,19,2886,C,1,Blacklist,5062,14,Ransomware
UDP,ARF,Locky,1SYSTEMQ,18454,1DA11mPS,11,1546,A,1,Spam,5061,6,Ransomware
UDP,AF,Locky,1DiCeTjB,21345,1DA11mPS,11,681,A,1,UDP Scan,5062,38,Benign
UDP,AP,CryptXXX,18e372GN,1,1GZkujBR,7,1454,C,9,UDP Scan,5062,8,Benign
ICMP,R,SamSam,1SYSTEMQ,18423,1NKi9AK5,22,3421,C,1,Blacklist,5062,12,Ransomware
UDP,AP,APT,18e372GN,1,1GZkujBR,7,1532,C,9,Spam,5062,50,Ransomware
TCP,APSF,CryptXXX,1BonuSr7,7520,1DA11mPS,2,2003,B,1,Botnet,5066,58,Ransomware
ICMP,AF,SamSam,18e372GN,1101,1GZkujBR,30,2769,C,1,UDP Scan,5068,3,Benign
TCP,APSF,Cryptohitman,1CLag5cd,6704,1DA11mPS,2,1979,C,1,Botnet,5066,6,Ransomware
UDP,AF,Locky,1DiCeTjB,126103,17dcMo4V,30,20,C,3,Spam,5068,1,Ransomware
TCP,AF,Flyper,1SYSTEMQ,1,1NKi9AK5,9,6366,A,1,Blacklist,5061,3,Ransomware
ICMP,R,SamSam,1Lc7xTpP,588,1DA11mPS,254,360,A,10,NerisBotnet,5068,25,Ransomware
UDP,ARF,JigSaw,1SYSTEMQ,18454,1NKi9AK5,11,1201,A,1,Botnet,5061,4,Ransomware
TCP,AP,APT,1DiCeTjB,1,17dcMo4V,7,1406,C,9,Spam,5062,2,Ransomware
TCP,AF,Locky,1DiCeTjB,125539,17dcMo4V,13,1,B,3,Port Scanning,5062,53,Benign
TCP,AF,Cryptohitman,1SYSTEMQ,23221,1KZKcvx4,13,158,C,11,UDP Scan,5061,49,Benign
UDP,AF,TowerWeb,1DiCeTjB,126259,17dcMo4V,30,306,C,3,UDP Scan,5068,27,Benign
UDP,ARF,EDA2,1SYSTEMQ,18454,1NKi9AK5,11,1246,A,1,Scan,5061,3,Benign
TCP,APSF,CryptXXX,1DiCeTjB,986,17dcMo4V,8,138,A,2,SSH,5062,21,Benign
TCP,AF,JigSaw,1SYSTEMQ,1,1DA11mPS,9,6626,C,1,Blacklist,5061,8,Ransomware
UDP,AF,WannaCry,1DiCeTjB,126231,17dcMo4V,30,327,C,3,Spam,5068,13,Ransomware
ICMP,R,WannaCry,1SYSTEMQ,21788,1NKi9AK5,22,4201,C,1,Spam,5062,18,Ransomware
UDP,AF,SamSam,18e372GN,5496,1GZkujBR,20,2284,C,11,Spam,5061,31,Ransomware
UDP,AF,JigSaw,18e372GN,5656,1GZkujBR,20,203,C,11,Spam,5062,7,Ransomware
UDP,A,Flyper,18e372GN,564,1GZkujBR,1,21,A,1,Blacklist,5068,17,Ransomware
TCP,APSF,Locky,18e372GN,1172,1DA11mPS,12,533,B,1,DoS,5068,44,Ransomware
UDP,ASF,SamSam,18e372GN,696,1GZkujBR,3,1284,A,1,UDP Scan,5062,5,Benign
TCP,APS,CryptXXX,1DiCeTjB,1,1DA11mPS,6,2586,C,1,Spam,5066,43,Ransomware
ICMP,R,SamSam,1SYSTEMQ,21224,1DA11mPS,22,3966,C,1,Spam,5062,22,Ransomware
ICMP,AF,TowerWeb,1DiCeTjB,391,17dcMo4V,30,2247,C,1,NerisBotnet,5066,22,Ransomware
UDP,AF,JigSaw,1DiCeTjB,413,17dcMo4V,103,606,C,11,SSH,5066,35,Benign
TCP,APS,WannaCry,1CLag5cd,10928,1DA11mPS,7,3783,C,1,Botnet,5066,50,Ransomware
UDP,AF,Globe,1DiCeTjB,126275,17dcMo4V,30,294,C,3,Spam,5068,35,Ransomware
TCP,APS,Razy,1DiCeTjB,1,17dcMo4V,9,956,A,9,SSH,5062,13,Benign
ICMP,APS,Razy,1DiCeTjB,93,17dcMo4V,32,7864,B,2,UDP Scan,5061,20,Benign
ICMP,R,Razy,1SYSTEMQ,20288,1DA11mPS,22,3576,C,1,Spam,5062,13,Ransomware
TCP,APS,SamSam,18e372GN,1165,1GZkujBR,4,758,D,2,Scan,5062,33,Benign
TCP,AF,Locky,1SYSTEMQ,1,1DA11mPS,9,6261,A,1,Blacklist,5066,50,Ransomware
UDP,AP,TowerWeb,1SYSTEMQ,1512,1AEoiHYZ,958,3197,A,3,Scan,5061,33,Benign
UDP,ARF,Razy,1CLag5cd,13520,1DA11mPS,11,756,A,1,Botnet,5061,51,Ransomware
ICMP,R,CryptXXX,1SYSTEMQ,22700,1NKi9AK5,22,4581,C,1,Spam,5066,54,Ransomware
UDP,APS,JigSaw,1DiCeTjB,108,17dcMo4V,72,10720,B,2,Spam,5061,20,Ransomware
TCP,AP,APT,18e372GN,1,1GZkujBR,7,1328,C,9,Spam,5062,29,Ransomware
ICMP,AF,Globe,1DiCeTjB,21345,1DA11mPS,11,632,A,1,UDP Scan,5062,19,Benign
ICMP,APS,DMALocker,18e372GN,1009,1GZkujBR,4,654,C,2,Port Scanning,5062,22,Benign
ICMP,AF,WannaCry,1DiCeTjB,177,17dcMo4V,30,1473,C,1,SSH,5068,12,Benign
ICMP,R,Cryptohitman,1Lc7xTpP,656,1DA11mPS,322,462,A,10,NerisBotnet,5068,59,Ransomware
TCP,AF,WannaCry,1DiCeTjB,339,17dcMo4V,35,542,C,11,SSH,5066,7,Benign
ICMP,R,WannaCry,1SYSTEMQ,20408,1NKi9AK5,22,3626,C,1,Spam,5062,11,Ransomware
ICMP,AF,SamSam,1DiCeTjB,1173,17dcMo4V,30,3033,C,1,SSH,5068,19,Benign
TCP,APSF,Locky,1BonuSr7,1096,1DA11mPS,12,236,B,1,DoS,5068,46,Ransomware
ICMP,APRSF,WannaCry,18e372GN,835,1GZkujBR,19,538,C,2,Port Scanning,5062,19,Benign
UDP,AF,Flyper,1DiCeTjB,1,1GZkujBR,20,22,A,1,NerisBotnet,5066,15,Ransomware
TCP,APS,CryptoLocker,18e372GN,1333,1GZkujBR,4,3940,D,2,SSH,5062,43,Benign
ICMP,AF,WannaCry,18e372GN,1410,1GZkujBR,30,3902,C,1,SSH,5066,18,Benign
TCP,AF,EDA2,1DiCeTjB,21345,17dcMo4V,30,9776,C,1,Scan,5061,17,Benign
TCP,APS,CryptXXX,18e372GN,1,1GZkujBR,6,542,A,9,Port Scanning,5066,0,Benign
TCP,AF,SamSam,1SYSTEMQ,28868,1AEoiHYZ,15,206,A,1,Spam,5066,10,Ransomware
ICMP,APS,SamSam,1DiCeTjB,97,17dcMo4V,36,114,B,2,Port Scanning,5061,20,Benign
TCP,APS,Locky,18e372GN,1219,1GZkujBR,4,794,D,2,Port Scanning,5062,6,Benign
TCP,APS,Flyper,18e372GN,1117,1GZkujBR,4,726,D,2,Port Scanning,5062,46,Benign
ICMP,AP,WannaCry,1SYSTEMQ,18454,1DA11mPS,22,3261,C,1,Blacklist,5062,15,Ransomware
UDP,AF,SamSam,1DiCeTjB,4321,17dcMo4V,30,1548,A,3,NerisBotnet,5066,40,Ransomware
TCP,AF,Globe,1DiCeTjB,125819,17dcMo4V,30,233,C,3,Spam,5062,30,Ransomware
ICMP,APS,SamSam,1DiCeTjB,1003,17dcMo4V,4,3720,C,2,Port Scanning,5062,41,Benign
TCP,AF,EDA2,1DiCeTjB,21345,1DA11mPS,11,311,C,1,Scan,5061,40,Benign
UDP,AF,Razy,1DiCeTjB,405,17dcMo4V,83,8488,C,11,UDP Scan,5066,7,Benign
ICMP,AF,DMALocker,1DiCeTjB,351,17dcMo4V,29,495,B,11,UDP Scan,5066,6,Benign
TCP,R,SamSam,1SYSTEMQ,23384,1DA11mPS,22,4866,C,1,Spam,5066,47,Ransomware
TCP,APSF,SamSam,1DiCeTjB,1268,1DA11mPS,3,839,C,1,SSH,5068,32,Benign
TCP,AF,TowerWeb,1Lc7xTpP,23221,1KZKcvx4,13,168,C,11,Blacklist,5061,46,Ransomware
TCP,AF,Locky,1DiCeTjB,125763,17dcMo4V,30,275,A,3,Spam,5062,57,Ransomware
TCP,AF,SamSam,18e372GN,21345,1DA11mPS,11,539,C,1,UDP Scan,5061,25,Benign
UDP,ARF,TowerWeb,18e372GN,18454,1DA11mPS,13,566,A,1,Blacklist,5061,10,Ransomware
TCP,AF,DMALocker,1SYSTEMQ,17867,1DA11mPS,9,6201,A,1,Blacklist,5066,22,Ransomware
TCP,R,JigSaw,1SYSTEMQ,18064,1DA11mPS,9,5216,C,1,Port Scanning,5066,5,Benign
TCP,AF,DMALocker,1DiCeTjB,125803,17dcMo4V,30,245,A,3,SSH,5062,22,Benign
TCP,APS,WannaCry,1CLag5cd,9452,1DA11mPS,2,1200,C,1,Botnet,5062,49,Ransomware
ICMP,R,TowerWeb,1SYSTEMQ,18225,1DA11mPS,22,4411,C,1,Blacklist,5062,32,Ransomware
TCP,APS,APT,18e372GN,1,1GZkujBR,7,1166,A,9,UDP Scan,5062,52,Benign
ICMP,APRSF,EDA2,1DiCeTjB,871,1GZkujBR,19,562,C,2,SSH,5062,37,Benign
UDP,AF,TowerWeb,1DiCeTjB,1,17dcMo4V,20,877,A,1,Spam,5062,33,Ransomware
TCP,APS,WannaCry,1DiCeTjB,404,1DA11mPS,70,11436,A,2,Botnet,5068,48,Ransomware
UDP,AF,SamSam,18e372GN,5536,1GZkujBR,20,98,C,11,Port Scanning,5062,43,Benign
ICMP,AP,SamSam,1SYSTEMQ,18441,1NKi9AK5,22,3331,C,1,Blacklist,5062,3,Ransomware
TCP,AF,Locky,1DiCeTjB,21345,1DA11mPS,11,440,C,1,UDP Scan,5061,4,Benign
ICMP,R,CryptXXX,1SYSTEMQ,18356,1NKi9AK5,22,3756,C,1,Blacklist,5062,1,Ransomware
TCP,APS,SamSam,18e372GN,1,1GZkujBR,16,152,B,9,Port Scanning,5066,0,Benign
UDP,AF,Razy,1DiCeTjB,126007,17dcMo4V,30,92,C,3,Spam,5062,12,Ransomware
UDP,AP,SamSam,1SYSTEMQ,18404,1DA11mPS,19,2791,C,1,Spam,5062,1,Ransomware
UDP,ARF,WannaCry,1SYSTEMQ,18454,1DA11mPS,11,1276,A,1,Blacklist,5061,7,Ransomware
UDP,APS,JigSaw,1DiCeTjB,41,17dcMo4V,45,10536,B,2,Scan,5061,20,Benign
TCP,APSF,WannaCry,1DiCeTjB,1368,1DA11mPS,2,1139,C,1,SSH,5066,2,Benign
TCP,AF,DMALocker,1CLag5cd,50919,1AEoiHYZ,15,182,A,1,Port Scanning,5066,7,Benign
TCP,AF,Locky,1SYSTEMQ,50991,1DA11mPS,9,30,A,1,Scan,5066,15,Benign
TCP,AF,Razy,1DiCeTjB,21345,1DA11mPS,11,582,C,1,SSH,5062,51,Benign
UDP,ASF,SamSam,18e372GN,762,1GZkujBR,3,1526,A,1,UDP Scan,5062,4,Benign
TCP,AF,Globe,1DiCeTjB,21345,1DA11mPS,11,605,C,1,UDP Scan,5062,48,Benign
TCP,APS,Locky,1BonuSr7,1,1DA11mPS,6,2355,C,1,Spam,5066,7,Ransomware
ICMP,AF,DMALocker,1DiCeTjB,493,17dcMo4V,30,2598,C,1,UDP Scan,5066,5,Benign
ICMP,AF,SamSam,1DiCeTjB,385,17dcMo4V,30,2225,C,1,UDP Scan,5066,18,Benign
TCP,APS,Locky,1BonuSr7,1,1DA11mPS,7,3678,C,1,SSH,5066,55,Benign
TCP,AF,NoobCrypt,1DiCeTjB,125559,17dcMo4V,13,620,B,3,UDP Scan,5062,6,Benign
TCP,A,Locky,1DiCeTjB,718,17dcMo4V,4,64,A,2,Botnet,5062,51,Ransomware
UDP,AF,DMALocker,1DiCeTjB,2565,1GZkujBR,2,81,A,2,SSH,5068,5,Benign
TCP,AP,TowerWeb,1SYSTEMQ,2220,1AEoiHYZ,1430,4495,A,7,Botnet,5062,33,Ransomware
UDP,AF,APT,18e372GN,1,1GZkujBR,20,2036,A,1,NerisBotnet,5066,13,Ransomware
TCP,APS,Flyper,1DiCeTjB,278,17dcMo4V,28,423,A,2,SSH,5061,20,Benign
ICMP,APRSF,EDA2,1DiCeTjB,373,1GZkujBR,19,230,B,2,Spam,5062,1,Ransomware
UDP,R,WannaCry,1CLag5cd,776,17dcMo4V,94,642,B,2,NerisBotnet,5061,10,Ransomware
TCP,APSF,JigSaw,1BonuSr7,1540,1DA11mPS,2,866,B,1,Botnet,5066,8,Ransomware
ICMP,ASF,APT,1DiCeTjB,1050,17dcMo4V,30,2582,C,1,DoS,5068,1,Ransomware
TCP,APSF,Locky,18e372GN,1078,1DA11mPS,12,155,B,1,DoS,5068,16,Ransomware
UDP,ARF,CryptXXX,1SYSTEMQ,18454,1NKi9AK5,13,631,A,1,Blacklist,5061,49,Ransomware
TCP,AP,SamSam,1DiCeTjB,1,17dcMo4V,7,1274,C,9,SSH,5062,11,Benign
UDP,AF,DMALocker,1BonuSr7,21345,1DA11mPS,11,680,A,1,UDP Scan,5062,7,Benign
UDP,ARF,SamSam,18e372GN,396,1GZkujBR,5,184,A,1,UDP Scan,5066,14,Benign
TCP,APSF,Razy,1DiCeTjB,84346,17dcMo4V,8,8,B,2,SSH,5068,9,Benign
ICMP,AP,SamSam,1SYSTEMQ,19388,1DA11mPS,19,3201,C,1,Spam,5062,6,Ransomware
TCP,AF,Locky,1SYSTEMQ,50991,1DA11mPS,15,102,A,1,Blacklist,5066,3,Ransomware
ICMP,AF,Locky,1DiCeTjB,1104,1GZkujBR,30,2780,C,1,SSH,5068,6,Benign
TCP,APS,CryptXXX,1BonuSr7,10856,1DA11mPS,7,3657,C,1,Botnet,5066,57,Ransomware
UDP,ASF,APT,1DiCeTjB,60,17dcMo4V,3,8712,C,1,DoS,5068,5,Ransomware
UDP,R,WannaCry,1Lc7xTpP,704,17dcMo4V,238,534,B,10,NerisBotnet,5068,46,Ransomware
TCP,APSF,CryptXXX,1BonuSr7,5384,1DA11mPS,3,1638,A,1,DoS,5068,16,Ransomware
TCP,APS,Locky,1BonuSr7,1,1DA11mPS,2,549,C,1,Spam,5062,0,Ransomware
UDP,ARF,EDA2,1SYSTEMQ,18454,1DA11mPS,11,751,A,1,Port Scanning,5061,4,Benign
